                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91981,                0.47837,                 1.1421,                0.94148,                0.96301,                 0.9818,                 0.8177,                0.74495,                0.41919,                 1.0651,               0.006634,               0.006634,               0.006634
                     37,                0.93087,                0.47664,                  1.155,                0.96215,                0.97493,                0.98357,                 0.8242,                0.71879,                0.40483,                 1.0489,               0.006535,               0.006535,               0.006535
                     38,                0.92275,                0.48057,                  1.158,                0.91897,                 0.9534,                0.98203,                0.82811,                0.70591,                0.43323,                 1.0487,               0.006436,               0.006436,               0.006436
                     39,                0.91404,                0.46737,                  1.144,                0.95742,                0.98801,                0.98235,                0.82303,                0.72022,                 0.3904,                 1.0524,               0.006337,               0.006337,               0.006337
                     40,                0.91719,                0.46906,                 1.1482,                0.96331,                0.97424,                0.98319,                 0.8219,                0.72053,                0.39388,                 1.0596,               0.006238,               0.006238,               0.006238
                     41,                0.91683,                0.47304,                 1.1463,                0.93731,                0.97807,                 0.9775,                0.81985,                0.71821,                0.42278,                 1.0687,               0.006139,               0.006139,               0.006139
                     42,                0.91915,                0.47006,                 1.1588,                0.90838,                 0.9736,                0.97041,                0.81648,                0.71371,                0.40629,                 1.0513,                0.00604,                0.00604,                0.00604
                     43,                0.91598,                0.47447,                 1.1571,                 0.9557,                0.97515,                0.98388,                  0.831,                0.70795,                0.38316,                 1.0654,               0.005941,               0.005941,               0.005941
                     44,                0.91181,                0.47367,                 1.1573,                0.96624,                0.98722,                0.98221,                0.82018,                0.72717,                0.38085,                 1.0693,               0.005842,               0.005842,               0.005842
                     45,                0.91373,                0.46514,                 1.1565,                0.95792,                0.97504,                0.98379,                0.81138,                0.75287,                0.37376,                 1.0798,               0.005743,               0.005743,               0.005743
                     46,                0.90606,                0.45456,                 1.1481,                0.96591,                0.96699,                0.98563,                0.82821,                0.70979,                0.37815,                 1.0561,               0.005644,               0.005644,               0.005644
                     47,                0.90887,                0.46206,                 1.1479,                0.96931,                 0.9738,                 0.9862,                 0.8337,                0.70206,                0.37669,                 1.0477,               0.005545,               0.005545,               0.005545
                     48,                0.91223,                0.45826,                 1.1487,                0.91374,                0.97481,                 0.9747,                0.81547,                0.73602,                0.41617,                 1.0638,               0.005446,               0.005446,               0.005446
                     49,                0.90588,                0.44582,                 1.1418,                0.93914,                0.97021,                0.97735,                0.82042,                0.71417,                 0.4079,                 1.0563,               0.005347,               0.005347,               0.005347
                     50,                0.90803,                 0.4449,                 1.1506,                 0.9694,                0.97993,                0.98426,                   0.83,                0.71749,                0.37247,                 1.0685,               0.005248,               0.005248,               0.005248
                     51,                 0.9063,                 0.4522,                 1.1474,                0.95832,                0.99097,                0.98468,                0.82796,                0.71365,                0.35811,                 1.0674,               0.005149,               0.005149,               0.005149
                     52,                0.90306,                0.45012,                 1.1618,                0.96165,                0.96546,                0.98276,                0.82447,                0.70136,                 0.3588,                 1.0562,                0.00505,                0.00505,                0.00505
                     53,                0.89234,                0.44022,                 1.1416,                0.95943,                0.97552,                 0.9834,                0.83016,                0.68896,                0.36357,                 1.0453,               0.004951,               0.004951,               0.004951
                     54,                0.89236,                0.43811,                  1.143,                 0.9598,                0.95057,                 0.9799,                0.81959,                0.72361,                0.42703,                 1.0603,               0.004852,               0.004852,               0.004852
                     55,                0.90384,                0.45219,                 1.1486,                 0.9715,                0.98712,                0.98211,                0.82228,                 0.7222,                0.35789,                  1.066,               0.004753,               0.004753,               0.004753
                     56,                0.90267,                0.45529,                 1.1388,                0.95142,                0.96713,                0.98173,                0.82298,                0.70927,                0.35767,                 1.0609,               0.004654,               0.004654,               0.004654
                     57,                0.89157,                0.43516,                 1.1469,                0.95681,                0.99012,                0.98366,                0.82808,                0.71948,                0.34955,                 1.0761,               0.004555,               0.004555,               0.004555
                     58,                0.90094,                0.43778,                 1.1435,                0.96677,                0.97922,                  0.981,                0.82754,                 0.7151,                0.35799,                 1.0653,               0.004456,               0.004456,               0.004456
                     59,                0.90737,                0.43528,                 1.1539,                0.97449,                0.98541,                0.98107,                0.83372,                0.69932,                0.34718,                 1.0528,               0.004357,               0.004357,               0.004357
                     60,                0.88968,                0.43319,                  1.131,                0.97945,                0.99149,                0.98227,                0.83078,                 0.6945,                0.33799,                 1.0452,               0.004258,               0.004258,               0.004258
