                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                0.89279,                0.53737,                 1.0609,                0.97751,                0.98796,                0.98479,                0.82518,                0.70908,                0.42978,                 0.9416,              0.0009109,              0.0009109,              0.0009109
                     12,                0.89431,                0.52349,                 1.0635,                0.84051,                0.96196,                0.97118,                0.81179,                0.71754,                0.58167,                0.95824,               0.000901,               0.000901,               0.000901
                     13,                0.89223,                0.51968,                 1.0664,                0.97938,                0.98598,                0.98013,                 0.8207,                0.72275,                0.41828,                 0.9528,              0.0008911,              0.0008911,              0.0008911
                     14,                0.88532,                 0.5092,                 1.0609,                0.97758,                0.98083,                0.98399,                0.82721,                0.69256,                0.41705,                 0.9508,              0.0008812,              0.0008812,              0.0008812
                     15,                0.88273,                0.50139,                 1.0632,                0.96995,                0.98248,                0.98513,                0.82401,                0.71725,                0.39952,                0.95968,              0.0008713,              0.0008713,              0.0008713
                     16,                0.88057,                0.49173,                 1.0619,                0.97879,                0.99224,                0.98489,                0.81608,                0.74303,                0.37892,                0.96908,              0.0008614,              0.0008614,              0.0008614
                     17,                0.87986,                 0.4931,                 1.0613,                0.95203,                0.95907,                0.97899,                0.81886,                0.72099,                0.43464,                0.95111,              0.0008515,              0.0008515,              0.0008515
                     18,                0.87982,                0.48301,                 1.0648,                0.95864,                0.96302,                0.98058,                0.82203,                0.72112,                0.42037,                0.95622,              0.0008416,              0.0008416,              0.0008416
                     19,                 0.8806,                0.48349,                 1.0694,                 0.9772,                0.97809,                0.98229,                0.82338,                0.71067,                0.38887,                0.95029,              0.0008317,              0.0008317,              0.0008317
                     20,                0.87587,                0.47344,                 1.0621,                0.97734,                0.98726,                0.98352,                0.81893,                0.72543,                0.38207,                0.96117,              0.0008218,              0.0008218,              0.0008218
                     21,                 0.8788,                0.46823,                 1.0636,                0.96452,                0.95952,                0.98333,                0.81873,                0.71876,                0.40242,                0.95849,              0.0008119,              0.0008119,              0.0008119
                     22,                0.86379,                 0.4584,                 1.0633,                0.97122,                0.98606,                0.98157,                 0.8226,                0.71467,                0.36229,                0.95714,               0.000802,               0.000802,               0.000802
                     23,                0.86328,                0.46126,                 1.0521,                0.96861,                0.98019,                0.98425,                0.82375,                 0.7195,                 0.3892,                0.96045,              0.0007921,              0.0007921,              0.0007921
                     24,                0.86289,                0.45352,                 1.0593,                0.97858,                 0.9842,                0.98483,                0.82025,                0.72779,                0.36127,                0.97347,              0.0007822,              0.0007822,              0.0007822
                     25,                0.85719,                0.45149,                 1.0579,                0.97383,                0.99014,                0.98411,                0.83173,                0.70837,                0.35529,                0.94937,              0.0007723,              0.0007723,              0.0007723
                     26,                0.85352,                0.43929,                 1.0524,                0.98123,                 0.9906,                0.98479,                0.83069,                0.70847,                0.34793,                0.95622,              0.0007624,              0.0007624,              0.0007624
                     27,                0.85362,                 0.4512,                 1.0587,                0.95067,                0.97415,                 0.9832,                0.82043,                0.72344,                0.39611,                0.95602,              0.0007525,              0.0007525,              0.0007525
                     28,                0.85543,                 0.4344,                 1.0538,                0.91489,                0.96704,                0.98058,                0.83077,                0.69533,                 0.4274,                0.94778,              0.0007426,              0.0007426,              0.0007426
                     29,                0.84677,                0.43237,                 1.0486,                 0.9814,                 0.9923,                0.98428,                0.82772,                0.69889,                0.33676,                0.95676,              0.0007327,              0.0007327,              0.0007327
                     30,                0.84925,                0.43363,                 1.0551,                0.98249,                0.99402,                0.98219,                0.81919,                0.72235,                0.33951,                0.96838,              0.0007228,              0.0007228,              0.0007228
                     31,                0.85679,                0.43887,                 1.0617,                0.97919,                 0.9933,                 0.9845,                0.82823,                0.71527,                 0.3489,                0.96581,              0.0007129,              0.0007129,              0.0007129
                     32,                0.84476,                0.42276,                  1.051,                0.97517,                0.99065,                0.98374,                0.83531,                0.70033,                0.33693,                0.96083,               0.000703,               0.000703,               0.000703
                     33,                0.85171,                0.42625,                 1.0533,                0.96922,                0.98633,                0.98272,                0.83297,                0.69186,                0.34564,                 0.9395,              0.0006931,              0.0006931,              0.0006931
                     34,                0.84812,                   0.43,                  1.056,                0.96875,                0.98812,                0.98287,                0.82639,                0.70282,                0.33207,                0.95335,              0.0006832,              0.0006832,              0.0006832
                     35,                0.85192,                0.42807,                 1.0569,                0.95432,                0.96106,                0.98526,                0.83009,                0.70405,                0.36959,                0.95067,              0.0006733,              0.0006733,              0.0006733
                     36,                0.83911,                  0.422,                  1.045,                0.97854,                0.98979,                0.98642,                0.82925,                0.70537,                0.33447,                0.95253,              0.0006634,              0.0006634,              0.0006634
                     37,                 0.8323,                0.41191,                 1.0424,                 0.9769,                0.98816,                0.98512,                0.83397,                0.69146,                0.32109,                0.94372,              0.0006535,              0.0006535,              0.0006535
                     38,                0.84346,                 0.4121,                 1.0511,                0.97716,                0.98402,                0.98509,                0.82746,                0.71826,                0.33572,                0.95888,              0.0006436,              0.0006436,              0.0006436
                     39,                0.83912,                0.41329,                 1.0444,                0.97622,                0.98486,                0.98104,                0.82653,                0.70435,                0.32771,                0.95635,              0.0006337,              0.0006337,              0.0006337
                     40,                0.84315,                0.41867,                 1.0498,                0.98074,                0.99119,                0.98536,                0.83468,                 0.7057,                0.32229,                0.95505,              0.0006238,              0.0006238,              0.0006238
                     41,                0.82889,                0.41116,                 1.0441,                0.95507,                0.99038,                0.98312,                0.82572,                0.70953,                0.33134,                 0.9482,              0.0006139,              0.0006139,              0.0006139
                     42,                0.83093,                0.40407,                 1.0453,                0.96305,                0.98344,                0.98527,                0.83081,                0.70133,                0.34186,                 0.9558,               0.000604,               0.000604,               0.000604
                     43,                0.83252,                0.40488,                 1.0476,                0.94525,                0.97829,                0.98472,                0.83552,                0.70102,                0.34802,                 0.9475,              0.0005941,              0.0005941,              0.0005941
                     44,                0.83239,                0.40214,                  1.046,                0.97234,                0.98905,                0.98381,                0.83257,                 0.7023,                0.31448,                0.94416,              0.0005842,              0.0005842,              0.0005842
