                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0935,                 2.5558,                 1.1927,                0.58475,                0.66811,                0.70393,                0.56651,                 0.8081,                  1.743,                0.99127,             0.00032889,             0.00032889,             0.00032889
                      2,                0.96267,                0.92232,                 1.1478,                0.88906,                0.92224,                0.95779,                0.77367,                0.79751,                0.84932,                0.92859,             0.00065567,             0.00065567,             0.00065567
                      3,                0.94647,                0.74879,                 1.1092,                0.92256,                0.94588,                0.97709,                0.80368,                0.75059,                0.73704,                0.93034,             0.00097584,             0.00097584,             0.00097584
                      4,                0.92644,                0.69235,                 1.0857,                0.86589,                0.91431,                0.96431,                0.76996,                0.81472,                0.78961,                0.93934,              0.0009703,              0.0009703,              0.0009703
                      5,                0.92399,                0.66776,                 1.0822,                0.94676,                0.95149,                0.97599,                0.80599,                0.74066,                0.59833,                 0.9269,              0.0009703,              0.0009703,              0.0009703
                      6,                 0.9159,                0.62697,                 1.0736,                0.95767,                0.96435,                0.97585,                0.80019,                0.74527,                  0.567,                0.93386,              0.0009604,              0.0009604,              0.0009604
                      7,                0.91873,                0.60273,                 1.0762,                0.93935,                0.97234,                0.98296,                0.80475,                0.76119,                0.51422,                0.95782,              0.0009505,              0.0009505,              0.0009505
                      8,                0.89989,                0.57956,                 1.0647,                0.91926,                0.92673,                0.96808,                0.80498,                0.74359,                0.62696,                0.94785,              0.0009406,              0.0009406,              0.0009406
                      9,                0.89408,                 0.5534,                 1.0633,                0.95154,                 0.9686,                0.98219,                0.80634,                0.73766,                0.48766,                0.95047,              0.0009307,              0.0009307,              0.0009307
                     10,                0.90335,                0.55492,                 1.0638,                0.93483,                0.95354,                0.97859,                0.80829,                0.71953,                0.55802,                0.94102,              0.0009208,              0.0009208,              0.0009208
